Pid,Date,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,Optionable,Shortable,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Earnings,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Shs Outstand,Shs Float,Short Float / Ratio,Short Interest,Target Price,52W Range,52W High,52W Low,RSI (14),Rel Volume,Avg Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR,Volatility,Prev Close,Price
AXNX,20230817,RUT,2.94B,-32.20M,319.80M,12.23,6.76,-,-,610,Yes,Yes,-,344.83,-,9.20,4.91,8.88,-,12.00,14.20,0.00,0.00,-0.67,153.10%,-0.05,31.20%,-,-12.40%,363.40%,34.60%,68.40%,Jul 27 AMC,0.70%,-19.76%,104.31%,3.20%,-4.90%,-5.60%,-10.90%,74.10%,-14.50%,-10.10%,-,50.46M,49.98M,7.01% / 5.23,3.50M,76.00,47.59 - 79.92,-24.92%,26.08%,58.70,1.23,669.50K,5.43%,16.60%,14.66%,4.17%,-17.07%,-4.05%,0.41,2.27,3.93% 3.92%,61.06,60.00
AXON,20230817,S&P 500,13.95B,98.90M,1.37B,19.47,15.88,-,-,2821,Yes,Yes,145.60,51.77,3.90,10.22,10.04,12.30,126.37,3.00,3.40,0.47,0.47,1.34,12.39%,0.77,323.70%,37.30%,52.60%,28.20%,31.20%,-76.80%,Aug 08 AMC,1.20%,-26.81%,79.20%,2.72%,3.60%,7.40%,2.30%,61.20%,8.20%,7.20%,0.00%,74.22M,68.44M,3.37% / 2.76,2.31M,236.40,109.31 - 229.95,-15.03%,78.75%,52.67,0.65,836.31K,-4.28%,3.09%,-1.16%,-1.81%,46.66%,17.75%,0.86,6.51,2.91% 2.75%,200.78,195.39
AXS,20230817,-,4.59B,339.60M,5.43B,52.47,13.94,1.76,3.23%,2064,Yes,Yes,13.77,5.87,0.69,0.84,1.04,3.91,6.15,-,-,0.29,0.29,3.96,10.32%,1.69,-67.40%,20.00%,20.20%,2.30%,-43.60%,-15.90%,Aug 01 AMC,1.12%,-0.63%,95.80%,-8.25%,1.20%,8.10%,2.30%,-,9.20%,6.30%,43.50%,85.21M,77.49M,0.74% / 1.30,0.58M,65.33,48.32 - 63.99,-14.89%,12.71%,46.68,0.94,443.52K,-1.52%,1.04%,0.31%,-12.98%,-0.22%,0.54%,0.84,1.05,1.99% 1.66%,55.70,54.46
AXSM,20230817,RUT,3.31B,-184.50M,182.50M,6.38,9.14,-,-,383,Yes,Yes,-,-,-,18.14,10.85,7.57,-,4.40,4.50,0.63,0.63,-4.28,38.60%,-1.16,-32.80%,-,-29.30%,-,430.70%,-45.10%,Aug 07 BMO,17.14%,0.00%,60.40%,16.34%,-44.10%,-112.20%,-88.20%,91.00%,-95.20%,-,-,43.67M,39.08M,23.17% / 9.93,9.06M,111.90,38.87 - 91.29,-24.14%,78.16%,39.27,0.65,911.74K,-1.77%,-6.72%,-11.77%,9.68%,56.50%,-10.22%,1.89,3.09,3.82% 4.23%,70.52,69.25
AXTA,20230817,-,6.21B,227.40M,5.05B,7.42,2.30,-,-,12000,Yes,Yes,26.88,15.35,2.14,1.23,3.71,12.00,24.65,1.40,2.00,2.17,2.15,1.02,22.69%,0.38,-24.30%,12.56%,8.00%,2.20%,4.80%,37.40%,Aug 01 AMC,0.70%,3.52%,106.92%,0.06%,3.30%,15.30%,6.70%,29.80%,9.50%,4.50%,0.00%,221.60M,220.08M,2.42% / 2.28,5.32M,34.13,20.66 - 33.68,-18.20%,33.35%,25.71,0.80,2.34M,-4.04%,-16.52%,-9.88%,-6.77%,1.81%,8.17%,1.47,0.75,1.56% 2.54%,27.40,27.55
AXTI,20230817,-,106.10M,9.10M,120.90M,5.09,0.95,-,-,1076,Yes,Yes,11.17,-,0.74,0.88,0.47,2.50,-,1.20,2.40,0.24,0.00,0.21,73.30%,-0.12,8.60%,15.00%,7.40%,7.40%,-51.10%,-209.10%,Aug 03 AMC,5.60%,-0.30%,57.30%,3.45%,4.30%,7.30%,4.60%,36.30%,10.50%,12.90%,0.00%,42.50M,40.58M,1.16% / 1.03,0.47M,4.46,2.39 - 9.78,-75.66%,-0.42%,29.00,0.19,459.00K,-10.53%,-21.19%,-29.17%,-61.86%,-75.00%,-45.66%,2.02,0.14,3.35% 4.77%,2.43,2.38
AY,20230817,-,2.55B,15.10M,1.10B,13.17,5.67,1.78,8.18%,874,Yes,Yes,179.83,47.00,-,2.31,1.65,3.84,5.89,1.80,1.80,3.59,3.36,0.12,47.45%,0.17,82.50%,-,44.80%,1.80%,1.40%,126.60%,Aug 01 BMO,42.28%,0.00%,46.40%,-2.99%,0.20%,1.00%,4.00%,98.70%,27.30%,1.40%,-,116.15M,67.05M,2.09% / 2.95,1.40M,31.38,21.97 - 35.64,-38.95%,-0.96%,27.94,0.69,475.86K,-4.69%,-9.90%,-15.72%,-17.67%,-38.41%,-15.98%,0.83,0.51,1.61% 2.31%,22.09,21.76
AYX,20230817,-,2.01B,-315.20M,903.90M,0.74,9.81,-,-,2626,Yes,Yes,-,25.44,-,2.22,38.47,2.90,-,2.60,2.60,23.75,23.75,-4.51,70.32%,-0.04,-73.80%,1.00%,98.39%,45.40%,4.10%,-8.70%,Aug 07 AMC,1.20%,-0.65%,86.40%,-1.61%,-19.20%,-248.70%,-29.00%,85.90%,-34.20%,-34.90%,-,70.65M,61.59M,5.16% / 1.55,3.18M,48.59,28.48 - 70.63,-59.69%,-0.04%,26.96,1.41,2.05M,-1.59%,-31.23%,-25.18%,-59.05%,-58.43%,-43.81%,0.54,1.98,4.34% 4.76%,29.31,28.47
AZEK,20230817,-,4.64B,20.50M,1.29B,9.58,1.64,-,-,2182,Yes,Yes,229.04,31.24,20.63,3.61,3.25,18.99,25.35,2.10,3.40,0.46,0.46,0.14,51.29%,0.28,-18.10%,11.10%,24.80%,16.50%,-1.90%,29.30%,Aug 08 AMC,1.30%,-92.51%,102.86%,-1.33%,0.90%,1.40%,4.70%,28.00%,5.50%,1.60%,0.00%,150.14M,147.86M,3.67% / 3.11,5.42M,36.37,15.12 - 34.87,-10.67%,106.02%,47.99,1.55,1.74M,-6.90%,1.20%,25.71%,15.67%,38.20%,53.30%,1.66,1.19,4.15% 3.44%,33.15,31.15
AZUL,20230817,-,1.10B,-757.00M,3.52B,-33.52,1.05,-,-,14007,Yes,Yes,-,10.51,-,0.31,-,8.72,-,0.20,0.30,-,-,-5.49,170.70%,0.08,83.00%,-,-28.80%,15.70%,8.80%,118.30%,Aug 10 BMO,-,-,32.80%,-0.89%,-3.20%,3.00%,33.90%,45.70%,13.20%,-3.40%,-,120.02M,111.87M,2.71% / 1.49,3.03M,15.03,3.82 - 13.86,-34.08%,139.27%,33.84,0.48,2.03M,-18.17%,-15.21%,6.03%,87.30%,-9.15%,49.59%,1.47,0.57,4.50% 4.74%,9.35,9.14
AZYO,20230817,-,24.72M,-32.70M,50.70M,-0.75,0.71,-,-,144,No,Yes,-,-,-,0.49,-,2.09,-,0.80,1.00,-,-,-2.29,-5.80%,-0.29,0.00%,-,-,-,13.90%,17.80%,Aug 14 AMC,0.70%,120.31%,28.70%,-0.13%,-53.80%,447.40%,-164.60%,41.90%,-61.40%,-64.50%,-,16.15M,11.66M,0.69% / 3.98,0.08M,8.00,1.10 - 9.01,-83.46%,35.45%,32.31,0.22,20.25K,5.67%,-36.05%,-32.27%,-64.42%,-77.25%,-64.94%,-0.03,0.17,11.53% 9.52%,1.55,1.49
BABA,20230817,-,239.28B,11.65B,124.34B,54.83,28.58,-,-,228675,Yes,Yes,20.14,9.45,2.04,1.92,1.65,3.17,-,1.90,1.90,0.16,0.16,4.50,11.60%,2.05,20.80%,9.89%,2.30%,28.30%,13.90%,56.70%,Aug 10 BMO,-,-,14.70%,-10.16%,4.80%,8.60%,7.40%,37.30%,13.10%,9.40%,0.00%,2.56B,2.55B,2.16% / 2.79,54.93M,140.66,58.01 - 121.30,-25.27%,56.27%,44.54,0.77,19.69M,-8.63%,-1.56%,-0.03%,-12.06%,-2.16%,2.91%,0.71,3.40,2.49% 2.85%,89.12,90.65
BACK,20230817,-,3.72M,-18.80M,14.40M,0.03,0.01,-,-,85,No,Yes,-,-,-,0.26,3.75,9.30,-,0.50,0.50,0.10,0.00,-0.63,50.00%,-0.03,-38.60%,-,-,83.10%,-46.20%,6.60%,-,1.80%,0.00%,16.00%,13.71%,-131.10%,-240.90%,-373.10%,90.90%,-,-,-,33.01M,27.13M,2.31% / 0.36,0.63M,1.25,0.10 - 0.63,-82.13%,12.60%,50.11,0.25,1.73M,2.55%,0.72%,-27.35%,-61.96%,-81.08%,-43.56%,-0.03,0.01,8.82% 9.29%,0.12,0.11
BAH,20230817,-,15.06B,292.40M,9.66B,7.76,1.60,1.88,1.64%,32600,Yes,Yes,51.99,20.43,5.10,1.56,14.81,71.85,-,1.20,1.20,2.83,2.71,2.21,11.56%,1.35,-40.90%,10.20%,0.60%,8.50%,18.00%,17.70%,Jul 28 BMO,1.00%,-18.30%,94.40%,0.61%,-,-,10.20%,53.60%,-,-,87.30%,131.03M,128.68M,1.59% / 2.25,2.04M,129.55,87.99 - 125.19,-8.22%,30.58%,40.93,1.22,908.59K,-4.80%,-0.98%,23.46%,19.17%,17.17%,9.93%,0.60,2.19,2.07% 1.87%,119.75,114.90
BALY,20230817,RUT,682.88M,-334.30M,2.36B,19.26,3.96,-,-,10500,Yes,Yes,-,21.79,-,0.29,0.76,3.72,-,0.80,0.80,3.22,3.19,-6.10,-74.40%,-0.06,-217.00%,-,-48.70%,39.90%,9.70%,-148.40%,Aug 03 BMO,10.60%,0.00%,72.50%,-14.09%,-5.10%,-33.80%,-5.40%,57.00%,-0.30%,-14.20%,-,53.94M,39.09M,5.27% / 6.55,2.06M,20.88,13.09 - 26.78,-45.00%,12.53%,42.07,1.04,314.54K,-2.71%,-5.58%,-4.72%,-28.87%,-43.71%,-23.99%,1.92,0.62,3.49% 3.91%,14.96,14.73
BAND,20230817,RUT,349.09M,32.40M,589.00M,11.42,4.70,-,-,1100,Yes,Yes,20.92,9.69,1.02,0.59,1.17,2.85,-,2.30,2.30,1.43,1.43,0.64,94.92%,0.17,158.10%,20.60%,4.50%,28.60%,6.90%,38.40%,Aug 02 AMC,1.10%,2.75%,79.10%,-4.25%,3.50%,12.30%,2.30%,41.10%,5.00%,5.50%,0.00%,25.55M,22.76M,5.04% / 3.35,1.15M,21.00,9.20 - 29.07,-54.01%,45.33%,45.42,0.67,342.95K,-4.64%,-11.04%,22.89%,-49.55%,-29.59%,-41.74%,1.31,0.80,3.50% 5.54%,13.04,13.37
BANF,20230817,RUT,3.21B,225.00M,546.10M,40.73,73.01,1.60,1.65%,2051,Yes,Yes,14.45,17.88,2.06,5.88,2.38,1.33,14.95,-,-,0.06,0.06,6.72,-13.35%,1.49,14.80%,7.00%,15.70%,11.10%,64.80%,22.90%,Jul 20 AMC,15.40%,-0.00%,52.90%,-3.37%,1.80%,17.70%,23.90%,-,75.90%,41.20%,22.80%,32.92M,21.90M,3.06% / 7.70,0.67M,90.50,68.44 - 117.23,-17.15%,41.91%,47.29,0.57,86.93K,-2.23%,-4.81%,19.72%,9.69%,-16.99%,10.14%,1.08,2.13,1.14% 2.15%,96.28,97.12
BANL,20230817,-,36.39M,3.70M,462.90M,-,0.20,-,-,32,No,Yes,8.61,-,-,0.08,-,7.28,11.74,1.80,1.80,0.00,0.00,0.17,-,-,19.40%,-,-,-,35.90%,22.00%,-,84.75%,0.00%,0.21%,-,-,-,32.20%,2.00%,1.00%,0.80%,0.00%,25.07M,3.82M,2.10% / 0.24,0.08M,-,1.45 - 21.53,-93.08%,2.76%,35.27,0.19,338.02K,-1.97%,-30.05%,-38.17%,-,-,-66.29%,-,0.22,5.57% 9.47%,1.46,1.49
BAOS,20230817,-,9.84M,-23.70M,2.40M,29.41,7.23,-,-,78,No,Yes,-,-,-,4.10,0.22,0.88,98.42,4.00,4.00,0.03,0.00,-15.42,-,-,-234.60%,-,-,-,32.80%,-,-,68.63%,0.00%,0.40%,-79.47%,-28.30%,-36.00%,-51.30%,-1.30%,-,-,-,1.54M,0.48M,3.55% / 0.04,0.02M,-,3.00 - 23.30,-72.75%,111.67%,43.05,0.21,423.59K,-0.63%,-30.68%,-7.23%,12.59%,-29.44%,23.06%,1.01,0.96,14.79% 11.20%,7.90,6.35
BASE,20230817,RUT,674.67M,-70.50M,161.00M,3.07,3.58,-,-,746,Yes,Yes,-,-,-,4.19,4.80,4.12,-,2.20,2.20,0.00,0.00,-1.56,22.40%,-0.20,-9.70%,-,-,-,17.50%,-6.50%,Jun 06 AMC,1.60%,-11.32%,93.30%,-1.22%,-27.90%,-45.80%,-46.80%,86.60%,-45.20%,-43.80%,-,45.84M,41.66M,2.74% / 2.41,1.14M,21.40,10.19 - 22.50,-34.44%,44.75%,39.73,0.38,474.67K,-1.40%,-9.51%,-11.94%,-12.83%,-19.27%,11.24%,0.41,0.58,2.45% 3.40%,15.09,14.75
BBCP,20230817,RUT,428.22M,31.80M,420.70M,5.34,0.07,-,-,1650,Yes,Yes,13.71,13.03,-,1.02,1.47,107.06,-,0.70,0.70,1.47,1.29,0.57,7.13%,0.21,255.90%,-,64.10%,-,9.60%,717.10%,Jun 08 AMC,5.60%,0.00%,63.40%,-0.26%,3.20%,9.70%,6.40%,40.50%,11.90%,6.40%,0.00%,53.60M,24.16M,3.04% / 7.56,0.74M,9.33,5.63 - 8.37,-6.45%,39.08%,39.73,0.73,97.28K,-3.57%,-5.89%,5.67%,-0.63%,9.97%,33.85%,1.08,0.14,1.55% 1.64%,8.02,7.83
BBGI,20230817,-,37.00M,-42.00M,258.40M,7.03,1.15,-,-,738,No,Yes,-,15.00,-,0.14,0.17,1.04,-,1.70,1.70,1.35,1.35,-1.42,114.80%,-0.06,63.30%,-,-28.10%,2.00%,-2.00%,-,Aug 03 BMO,7.10%,6.05%,25.30%,-1.73%,-5.30%,-16.90%,-3.20%,17.20%,-12.00%,-14.70%,-,29.85M,9.16M,0.27% / 0.76,0.02M,2.25,0.74 - 1.39,-13.67%,62.16%,65.47,1.04,31.88K,7.14%,26.32%,13.21%,-4.00%,-9.09%,30.39%,1.09,0.07,6.90% 6.23%,1.22,1.20
BBIO,20230817,RUT,4.81B,-573.00M,5.70M,-8.48,2.27,-,-,392,Yes,Yes,-,-,-,844.23,-,12.54,-,3.90,3.90,-,-,-3.75,16.80%,-0.83,16.30%,-,-65.10%,-,-97.80%,-,Aug 03 BMO,4.30%,-23.05%,98.10%,2.66%,-92.40%,46.00%,-113.10%,53.60%,-,-,-,160.53M,117.53M,12.28% / 4.72,14.43M,45.78,6.64 - 36.36,-21.86%,327.86%,47.07,0.89,3.06M,-12.29%,-17.56%,101.78%,132.87%,156.41%,272.83%,0.98,1.70,4.72% 5.06%,29.80,28.41
BBSI,20230817,RUT,633.29M,46.80M,1.07B,26.36,19.79,1.20,1.27%,127141,Yes,Yes,14.12,12.49,0.94,0.59,3.58,4.76,22.14,1.20,1.20,0.00,0.00,6.67,11.07%,2.37,30.90%,15.00%,13.50%,2.80%,0.90%,-0.30%,Aug 02 AMC,2.10%,-0.95%,88.10%,-1.81%,6.90%,26.70%,23.00%,22.20%,5.40%,4.40%,17.70%,6.75M,6.50M,1.15% / 2.47,0.07M,118.25,75.94 - 100.85,-6.55%,24.10%,61.65,0.87,30.08K,0.29%,2.42%,15.49%,-4.01%,9.80%,1.03%,1.35,1.83,1.34% 1.88%,95.07,94.24
BBW,20230817,RUT,363.30M,48.40M,470.30M,7.54,2.29,-,-,1000,Yes,Yes,7.82,6.78,0.26,0.77,3.36,11.08,7.90,0.60,1.40,0.00,0.00,3.25,1.08%,0.55,7.30%,30.00%,124.70%,73.00%,2.00%,9.70%,Aug 24 BMO,3.50%,-27.89%,78.80%,-11.93%,18.20%,46.20%,40.30%,52.90%,13.40%,10.30%,0.00%,14.46M,13.44M,9.13% / 5.07,1.23M,41.00,11.70 - 26.39,-3.85%,116.85%,64.93,0.53,242.27K,0.20%,12.86%,18.50%,13.14%,40.18%,13.43%,1.95,0.69,3.00% 2.72%,25.75,25.37
BCAB,20230817,RUT,121.73M,-116.50M,-,2.61,3.48,-,-,66,Yes,Yes,-,-,-,-,0.96,0.72,-,5.20,5.20,0.00,0.00,-2.65,6.60%,-0.64,0.90%,-,-,-,-,2.70%,Aug 01 AMC,4.40%,2.93%,58.40%,11.45%,-58.30%,-77.20%,-,-,-,-,-,47.71M,39.76M,11.66% / 11.53,4.64M,16.20,2.23 - 12.14,-79.32%,12.30%,37.59,0.48,402.37K,-7.38%,-18.24%,-28.49%,-26.61%,-78.85%,-69.58%,0.29,0.19,5.53% 6.98%,2.55,2.51
BCAT,20230817,-,1.61B,-,-,-,-,1.53,10.30%,-,No,Yes,-,-,-,-,-,-,-,-,-,-,-,-2.81,-,-,-,-,-,-,-,-,-,0.31%,-5.36%,32.82%,-,-,-,-,-,-,-,-,108.14M,107.84M,0.06% / 0.25,0.06M,-,13.18 - 15.67,-5.25%,12.67%,34.14,0.75,251.25K,-2.50%,-2.56%,-0.08%,-1.65%,-5.43%,8.20%,0.72,0.17,0.98% 1.04%,14.95,14.85
BCBP,20230817,RUT,196.19M,41.50M,162.80M,16.56,18.15,0.64,5.49%,301,Yes,Yes,4.83,5.80,0.48,1.21,0.70,0.64,4.76,-,-,0.13,0.13,2.41,3.45%,0.49,34.50%,10.00%,22.80%,11.10%,-18.90%,-55.80%,Jul 20 BMO,2.60%,33.73%,41.40%,1.44%,1.10%,15.30%,32.30%,-,70.10%,25.50%,26.10%,16.82M,14.70M,0.92% / 2.32,0.14M,14.50,9.97 - 20.28,-42.54%,16.85%,39.88,1.27,58.49K,-5.28%,-8.63%,8.37%,-33.43%,-42.55%,-35.24%,0.65,0.36,2.62% 2.88%,11.37,11.65
BCC,20230817,RUT,4.08B,580.00M,7.14B,54.66,27.46,0.80,0.77%,6820,Yes,Yes,7.12,9.54,-,0.57,1.90,3.78,5.42,2.40,3.40,0.22,0.22,14.57,-6.47%,3.38,20.00%,-,62.30%,13.60%,-20.30%,-33.00%,Jul 31 AMC,0.20%,-8.02%,95.90%,-0.79%,17.30%,27.80%,34.30%,21.60%,10.80%,8.10%,4.40%,39.67M,39.28M,1.78% / 2.10,0.70M,118.60,52.27 - 112.29,-7.59%,98.51%,52.38,1.02,333.28K,-5.09%,2.64%,43.94%,40.57%,51.54%,57.23%,1.56,2.97,2.16% 2.81%,107.00,103.77
BCEL,20230817,-,24.72M,-93.30M,-,1.56,0.91,-,-,90,Yes,Yes,-,-,-,-,0.26,0.44,-,4.20,4.20,0.00,0.00,-2.40,14.40%,-0.45,14.70%,-,-19.60%,-,-,17.90%,Aug 10 AMC,0.60%,-4.92%,50.20%,-1.83%,-59.60%,-110.80%,-,-,-,-,-,39.09M,31.11M,7.77% / 13.01,2.42M,5.20,0.38 - 2.47,-83.77%,5.43%,19.50,1.02,185.69K,-54.41%,-62.88%,-62.53%,-76.69%,-83.90%,-49.93%,1.23,0.09,31.14% 13.51%,0.39,0.40
BCML,20230817,RUT,229.27M,29.70M,118.00M,23.09,18.84,0.40,2.09%,374,Yes,Yes,8.39,9.00,0.84,1.94,0.83,1.02,5.91,-,-,0.23,0.23,2.28,-3.49%,0.53,8.10%,10.00%,20.40%,19.30%,21.40%,3.20%,Jul 26 AMC,3.50%,0.28%,58.60%,-6.70%,1.00%,8.10%,21.10%,-,78.20%,21.80%,10.10%,13.58M,11.10M,0.67% / 1.70,0.07M,23.17,15.02 - 21.07,-9.02%,27.63%,50.84,0.59,43.39K,-5.24%,4.02%,22.73%,-4.15%,-2.79%,1.00%,0.71,0.52,2.68% 2.50%,18.96,19.17
BCOV,20230817,RUT,161.51M,-25.00M,203.20M,2.13,0.45,-,-,682,Yes,Yes,-,30.56,-,0.79,1.79,8.46,-,0.60,0.60,0.00,0.00,-0.59,1300.00%,0.02,-268.50%,15.00%,17.60%,6.20%,-6.30%,-,Aug 02 AMC,0.80%,173.49%,88.20%,0.17%,-11.10%,-25.60%,-7.80%,61.50%,-11.80%,-12.30%,-,43.06M,42.03M,0.59% / 1.39,0.25M,7.00,3.28 - 7.39,-48.31%,16.46%,40.98,0.97,177.75K,-2.30%,-3.05%,8.52%,-46.94%,-43.91%,-26.96%,0.79,0.16,2.38% 4.06%,3.87,3.82
BCOW,20230817,-,45.96M,-0.50M,17.30M,13.37,4.37,-,-,93,No,Yes,-,-,-,2.66,0.54,1.66,-,-,-,0.00,0.00,-0.08,-,-,-286.70%,-,-15.40%,1.50%,2.60%,-,-,4.00%,0.00%,25.20%,9.91%,-,-,19.10%,-,-,-,-,6.22M,5.89M,0.06% / 0.58,0.00M,-,6.30 - 11.16,-35.04%,14.99%,40.34,0.73,5.57K,-2.03%,-6.45%,10.69%,-27.13%,-27.35%,-27.50%,0.39,0.26,3.40% 2.92%,7.16,7.25
BCRX,20230817,RUT,1.35B,-242.70M,306.60M,-2.06,2.14,-,-,531,Yes,Yes,-,-,-,4.39,-,3.28,-,5.20,5.50,-,-,-1.29,41.70%,-0.23,-29.40%,44.80%,-11.30%,60.80%,26.00%,-25.60%,Aug 03 BMO,0.80%,-1.53%,81.10%,-1.76%,-45.20%,77.40%,-34.50%,97.40%,-46.30%,-79.20%,-,189.12M,187.20M,20.83% / 14.82,39.00M,15.10,6.62 - 15.12,-53.70%,5.74%,46.13,0.84,2.63M,-0.99%,-4.89%,-17.36%,-31.10%,-52.15%,-39.02%,1.87,0.36,4.05% 5.57%,6.92,7.00
BCSF,20230817,-,981.94M,101.10M,248.30M,17.44,1.42,1.68,11.10%,-,Yes,Yes,9.66,7.85,1.81,3.95,0.87,10.64,-,-,-,1.32,1.32,1.57,-10.87%,0.54,-12.00%,5.35%,30.50%,54.90%,44.50%,69.30%,Aug 08 AMC,0.55%,0.00%,52.10%,1.51%,-,-,4.10%,48.90%,51.50%,-,83.50%,64.56M,51.90M,0.92% / 2.66,0.48M,15.19,11.06 - 15.85,-4.54%,36.80%,62.62,0.79,178.71K,-1.69%,5.14%,22.11%,16.56%,0.80%,27.14%,1.27,0.30,1.69% 1.99%,15.17,15.13
BCX,20230817,-,799.09M,-,-,-,-,0.62,6.72%,-,No,Yes,5.89,-,-,-,-,-,-,-,-,-,-,1.57,-,-,-,-,-,-,-,-,-,-,-,32.30%,-,-,-,-,-,-,-,35.31%,86.39M,86.39M,0.08% / 0.19,0.07M,-,8.18 - 10.57,-12.50%,13.14%,41.63,0.72,358.14K,-3.55%,-0.64%,1.38%,-9.60%,-2.87%,-7.06%,1.06,0.15,1.58% 1.39%,9.18,9.25
BCYC,20230817,-,885.29M,-140.00M,22.50M,7.29,8.24,-,-,236,Yes,Yes,-,-,-,39.35,2.94,2.60,-,5.70,5.70,0.14,0.14,-4.68,-8.90%,-1.20,-42.50%,-,-32.90%,47.70%,159.10%,-55.90%,Aug 03 BMO,8.55%,-0.19%,93.50%,2.19%,-32.70%,-54.70%,-38.20%,-,-,-,-,41.42M,33.70M,11.11% / 16.75,3.74M,49.00,18.84 - 33.49,-36.04%,13.69%,33.29,0.54,223.64K,-4.59%,-13.63%,-11.23%,-13.10%,-16.88%,-27.64%,0.75,1.28,4.11% 5.67%,22.07,21.42
BDL,20230817,-,59.43M,5.60M,166.10M,31.31,19.79,0.45,1.45%,469,No,Yes,10.31,-,-,0.36,0.99,1.57,594.30,1.90,2.20,0.41,0.39,3.02,-,-,-46.40%,-,15.90%,8.20%,8.70%,14.30%,May 17 AMC,70.51%,0.00%,10.90%,-17.12%,3.80%,10.00%,11.90%,58.40%,5.00%,3.40%,0.00%,1.86M,0.55M,0.52% / 1.01,0.00M,-,25.00 - 33.33,-6.65%,24.46%,52.96,0.14,2.81K,3.06%,0.05%,12.49%,17.15%,-2.77%,20.23%,0.67,0.99,3.74% 2.36%,32.17,31.11
BDSX,20230817,-,105.88M,-68.60M,40.70M,0.06,0.34,-,-,245,Yes,Yes,-,-,-,2.60,24.00,4.19,-,1.60,1.60,5.48,5.46,-1.34,19.10%,-0.15,1.40%,-,-,-,40.00%,52.10%,Aug 07 AMC,4.70%,4.76%,6.60%,26.98%,-87.90%,-916.50%,-126.20%,65.40%,-,-,-,77.77M,28.25M,0.96% / 3.61,0.27M,4.25,0.95 - 2.53,-43.08%,50.79%,55.04,0.32,75.49K,10.77%,22.03%,19.01%,-28.36%,-39.50%,-37.39%,1.18,0.14,8.90% 11.72%,1.45,1.44
BDTX,20230817,-,162.50M,-86.50M,-,2.69,1.96,-,-,65,Yes,Yes,-,-,-,-,1.14,1.57,-,8.40,8.40,0.00,0.00,-2.38,9.70%,-0.51,27.70%,-,-,-,-,18.60%,Aug 11 BMO,0.40%,-,60.00%,0.10%,-54.30%,-73.00%,-,-,-,-,-,51.51M,50.18M,2.06% / 0.24,1.04M,11.33,1.18 - 6.85,-55.04%,161.02%,37.60,0.13,4.24M,-9.68%,-36.10%,78.03%,17.11%,-21.83%,71.11%,2.48,0.29,6.42% 8.20%,3.08,3.08
BE,20230817,RUT,3.01B,-241.90M,1.33B,1.47,3.69,-,-,2530,Yes,Yes,-,37.53,-,2.26,9.83,3.91,-,1.60,2.10,4.60,4.46,-1.20,273.90%,-0.03,-71.00%,-,9.10%,26.80%,23.80%,52.40%,Aug 03 AMC,6.40%,-3.40%,81.80%,12.44%,-11.00%,-79.30%,-22.30%,17.50%,-16.40%,-18.20%,-,208.69M,180.93M,16.42% / 6.74,29.71M,26.10,12.33 - 27.86,-48.14%,17.17%,32.35,0.53,4.41M,-3.47%,-18.68%,4.79%,-40.80%,-46.08%,-24.42%,2.85,0.75,3.65% 4.30%,14.61,14.45
BEAM,20230817,RUT,1.78B,-327.20M,80.20M,10.63,14.16,-,-,507,Yes,Yes,-,-,-,22.19,2.21,1.66,-,5.20,5.20,0.00,0.00,-4.52,-8.60%,-1.37,28.40%,4.10%,-,-,20.40%,-5.80%,Aug 08 BMO,1.50%,-14.65%,87.10%,-0.74%,-24.30%,-43.30%,-46.40%,-,-,-,-,76.33M,71.81M,16.70% / 14.26,12.00M,65.36,23.19 - 62.69,-62.53%,1.29%,26.26,1.31,841.00K,-7.52%,-24.23%,-32.81%,-46.54%,-63.04%,-39.94%,1.64,1.26,3.97% 4.57%,23.21,23.49
BEAT,20230817,-,57.64M,-15.00M,-,-0.10,0.04,-,-,15,No,Yes,-,-,-,-,-,57.64,-,0.60,0.60,-,-,-1.82,11.10%,-0.17,-179.90%,-,-,-,-,-89.40%,Aug 10 AMC,6.50%,0.00%,11.50%,-3.57%,-236.60%,-319.60%,-,-,-,-,-,25.90M,19.59M,0.67% / 0.26,0.13M,6.89,1.12 - 6.74,-67.80%,93.75%,26.49,0.08,495.65K,-17.80%,-30.00%,-0.46%,-43.93%,49.66%,-55.53%,-2.07,0.23,9.84% 8.51%,2.29,2.17
